Date,Home Team,Away Team,Home Goals,Away Goals,Referee
Oct 06 2018 - 2:00pm,Leicester City,Everton,1,2,Andre Marriner
Oct 06 2018 - 2:00pm,Tottenham Hotspur,Cardiff City,1,0,Mike Dean
Oct 06 2018 - 2:00pm,Watford,AFC Bournemouth,0,4,Jonathan Moss
Oct 06 2018 - 4:30pm,Manchester United,Newcastle United,3,2,Anthony Taylor
Oct 07 2018 - 11:00am,Fulham,Arsenal,1,5,Paul Tierney
Oct 07 2018 - 1:15pm,Southampton,Chelsea,0,3,Craig Pawson
Oct 07 2018 - 3:30pm,Liverpool,Manchester City,0,0,Martin Atkinson
Oct 20 2018 - 11:30am,Chelsea,Manchester United,2,2,Mike Dean
Oct 20 2018 - 2:00pm,AFC Bournemouth,Southampton,0,0,Lee Probert
Oct 20 2018 - 2:00pm,Cardiff City,Fulham,4,2,Kevin Friend
Oct 20 2018 - 2:00pm,Manchester City,Burnley,5,0,Jonathan Moss
Oct 20 2018 - 2:00pm,Newcastle United,Brighton & Hove Albion,0,1,Andre Marriner
Oct 20 2018 - 2:00pm,West Ham United,Tottenham Hotspur,0,1,Martin Atkinson
Oct 20 2018 - 2:00pm,Wolverhampton Wanderers,Watford,0,2,Lee Mason
Oct 20 2018 - 4:30pm,Huddersfield Town,Liverpool,0,1,Michael Oliver
Oct 21 2018 - 3:00pm,Everton,Crystal Palace,2,0,Anthony Taylor
Oct 22 2018 - 7:00pm,Arsenal,Leicester City,3,1,Chris Kavanagh
Oct 27 2018 - 2:00pm,Brighton & Hove Albion,Wolverhampton Wanderers,1,0,Anthony Taylor
Oct 27 2018 - 2:00pm,Fulham,AFC Bournemouth,0,3,Andre Marriner
Oct 27 2018 - 2:00pm,Liverpool,Cardiff City,4,1,Stuart Attwell
Oct 27 2018 - 2:00pm,Southampton,Newcastle United,0,0,Chris Kavanagh
Oct 27 2018 - 2:00pm,Watford,Huddersfield Town,3,0,Mike Dean
Oct 27 2018 - 4:30pm,Leicester City,West Ham United,1,1,Michael Oliver
Oct 28 2018 - 1:30pm,Burnley,Chelsea,0,4,Craig Pawson
Oct 28 2018 - 1:30pm,Crystal Palace,Arsenal,2,2,Martin Atkinson
Oct 28 2018 - 4:00pm,Manchester United,Everton,2,1,Jonathan Moss
Oct 29 2018 - 8:00pm,Tottenham Hotspur,Manchester City,0,1,Kevin Friend
Nov 03 2018 - 12:30pm,AFC Bournemouth,Manchester United,1,2,Paul Tierney
Nov 03 2018 - 3:00pm,Cardiff City,Leicester City,0,1,Lee Probert
Nov 03 2018 - 3:00pm,Everton,Brighton & Hove Albion,3,1,David Coote
Nov 03 2018 - 3:00pm,Newcastle United,Watford,1,0,Craig Pawson
Nov 03 2018 - 3:00pm,West Ham United,Burnley,4,2,Roger East
Nov 03 2018 - 5:30pm,Arsenal,Liverpool,1,1,Andre Marriner
Nov 03 2018 - 7:45pm,Wolverhampton Wanderers,Tottenham Hotspur,2,3,Mike Dean
Nov 04 2018 - 3:00pm,Manchester City,Southampton,6,1,Lee Mason
Nov 04 2018 - 4:00pm,Chelsea,Crystal Palace,3,1,Michael Oliver
