Date,Home Team,Away Team,Home Goals,Away Goals,Referee
Apr 05 2019 - 7:00pm,Southampton,Liverpool,1,3,Paul Tierney
Apr 06 2019 - 2:00pm,AFC Bournemouth,Burnley,1,3,Martin Atkinson
Apr 06 2019 - 2:00pm,Huddersfield Town,Leicester City,1,4,David Coote
Apr 06 2019 - 2:00pm,Newcastle United,Crystal Palace,0,1,Stuart Attwell
Apr 07 2019 - 1:05pm,Everton,Arsenal,1,0,Kevin Friend
Apr 08 2019 - 7:00pm,Chelsea,West Ham United,2,0,Chris Kavanagh
Apr 12 2019 - 7:00pm,Leicester City,Newcastle United,0,1,Chris Kavanagh
Apr 13 2019 - 11:30am,Tottenham Hotspur,Huddersfield Town,4,0,Lee Mason
Apr 13 2019 - 2:00pm,Brighton & Hove Albion,AFC Bournemouth,0,5,Kevin Friend
Apr 13 2019 - 2:00pm,Burnley,Cardiff City,2,0,Mike Dean
Apr 13 2019 - 2:00pm,Fulham,Everton,2,0,Lee Probert
Apr 13 2019 - 2:00pm,Southampton,Wolverhampton Wanderers,3,1,Jonathan Moss
Apr 13 2019 - 4:30pm,Manchester United,West Ham United,2,1,Graham Scott
Apr 14 2019 - 1:05pm,Crystal Palace,Manchester City,1,3,Martin Atkinson
Apr 14 2019 - 3:30pm,Liverpool,Chelsea,2,0,Michael Oliver
Apr 15 2019 - 7:00pm,Watford,Arsenal,0,1,Craig Pawson
Apr 16 2019 - 6:45pm,Brighton & Hove Albion,Cardiff City,0,2,Andre Marriner
Apr 20 2019 - 11:30am,Manchester City,Tottenham Hotspur,1,0,Michael Oliver
Apr 20 2019 - 2:00pm,AFC Bournemouth,Fulham,0,1,David Coote
Apr 20 2019 - 2:00pm,Huddersfield Town,Watford,1,2,Roger East
Apr 20 2019 - 2:00pm,West Ham United,Leicester City,2,2,Lee Probert
Apr 20 2019 - 2:00pm,Wolverhampton Wanderers,Brighton & Hove Albion,0,0,Craig Pawson
Apr 20 2019 - 4:30pm,Newcastle United,Southampton,3,1,Anthony Taylor
Apr 21 2019 - 12:30pm,Everton,Manchester United,4,0,Paul Tierney
Apr 21 2019 - 3:00pm,Arsenal,Crystal Palace,2,3,Jonathan Moss
Apr 21 2019 - 3:00pm,Cardiff City,Liverpool,0,2,Martin Atkinson
Apr 22 2019 - 7:00pm,Chelsea,Burnley,2,2,Kevin Friend
Apr 23 2019 - 6:45pm,Watford,Southampton,1,1,Mike Dean
Apr 23 2019 - 6:45pm,Tottenham Hotspur,Brighton & Hove Albion,1,0,Chris Kavanagh
Apr 24 2019 - 6:45pm,Wolverhampton Wanderers,Arsenal,3,1,Stuart Attwell
Apr 24 2019 - 7:00pm,Manchester United,Manchester City,0,2,Andre Marriner
Apr 26 2019 - 7:00pm,Liverpool,Huddersfield Town,5,0,Kevin Friend
Apr 27 2019 - 11:30am,Tottenham Hotspur,West Ham United,0,1,Anthony Taylor
Apr 27 2019 - 2:00pm,Crystal Palace,Everton,0,0,Lee Mason
Apr 27 2019 - 2:00pm,Fulham,Cardiff City,1,0,Chris Kavanagh
Apr 27 2019 - 2:00pm,Southampton,AFC Bournemouth,3,3,Graham Scott
Apr 27 2019 - 2:00pm,Watford,Wolverhampton Wanderers,1,2,Simon Hooper
Apr 27 2019 - 4:30pm,Brighton & Hove Albion,Newcastle United,1,1,Mike Dean
Apr 28 2019 - 11:00am,Leicester City,Arsenal,3,0,Michael Oliver
Apr 28 2019 - 1:05pm,Burnley,Manchester City,0,1,Paul Tierney
Apr 28 2019 - 3:30pm,Manchester United,Chelsea,1,1,Martin Atkinson
May 03 2019 - 7:00pm,Everton,Burnley,2,0,Chris Kavanagh
May 04 2019 - 11:30am,AFC Bournemouth,Tottenham Hotspur,1,0,Craig Pawson
May 04 2019 - 2:00pm,West Ham United,Southampton,3,0,Stuart Attwell
May 04 2019 - 2:00pm,Wolverhampton Wanderers,Fulham,1,0,Jonathan Moss
May 04 2019 - 4:30pm,Cardiff City,Crystal Palace,2,3,Michael Oliver
May 04 2019 - 6:45pm,Newcastle United,Liverpool,2,3,Andre Marriner
May 05 2019 - 1:00pm,Chelsea,Watford,3,0,Paul Tierney
May 05 2019 - 1:00pm,Huddersfield Town,Manchester United,1,1,Lee Mason
May 05 2019 - 3:30pm,Arsenal,Brighton & Hove Albion,1,1,Anthony Taylor
May 06 2019 - 7:00pm,Manchester City,Leicester City,1,0,Mike Dean
May 12 2019 - 2:00pm,Brighton & Hove Albion,Manchester City,1,4,Michael Oliver
May 12 2019 - 2:00pm,Burnley,Arsenal,1,3,Mike Dean
May 12 2019 - 2:00pm,Crystal Palace,AFC Bournemouth,5,3,Roger East
May 12 2019 - 2:00pm,Fulham,Newcastle United,0,4,Kevin Friend
May 12 2019 - 2:00pm,Leicester City,Chelsea,0,0,Anthony Taylor
May 12 2019 - 2:00pm,Liverpool,Wolverhampton Wanderers,2,0,Martin Atkinson
May 12 2019 - 2:00pm,Manchester United,Cardiff City,0,2,Jonathan Moss
May 12 2019 - 2:00pm,Southampton,Huddersfield Town,1,1,Lee Probert
May 12 2019 - 2:00pm,Tottenham Hotspur,Everton,2,2,Andre Marriner
May 12 2019 - 2:00pm,Watford,West Ham United,1,4,Chris Kavanagh
